contact_id,isdeleted,masterrecordid,accountid,salutation,firstname,lastname,otherstreet,othercity,otherstate,otherpostalcode,othercountry,otherlatitude,otherlongitude,othergeocodeaccuracy,mailingstreet,mailingcity,mailingstate,mailingpostalcode,mailingcountry,mailinglatitude,mailinglongitude,mailinggeocodeaccuracy,phone,fax,mobilephone,homephone,otherphone,assistantphone,reportstoid,email,title,department,assistantname,leadsource,birthdate,description,ownerid,hasoptedoutofemail,hasoptedoutoffax,donotcall,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastactivitydate,lastcurequestdate,lastcuupdatedate,emailbouncedreason,emailbounceddate,jigsaw,jigsawcontactid,cleanstatus,individualid,pronouns,genderidentity,level__c,languages__c
003Hp00002pTA6pIAG,0,,001Hp00002g1VGhIAM,Mr.,Josh,Davis,,,,,,,,,"621 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-4387,,,,,j.davis@expressl&t.net,"Director, Warehouse Mgmt",Warehouse Mgmt,,Word of mouth,1952-01-11 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6qIAG,0,,001Hp00002g1VGiIAM,Ms.,Jane,Grey,,,,,,,,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,(520) 773-9050,(520) 773-9060,(520) 773-4539,,,,,jane_gray@uoa.edu,Dean of Administration,Administration,,Word of mouth,1947-11-28 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6rIAG,0,,001Hp00002g1VGgIAM,Mr.,Arthur,Song,,,,,,,,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-4535,,,(212) 842-5464,,asong@uog.com,CEO,Executive Team,Pat Feinstein,Public Relations,1955-05-29 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6sIAG,0,,001Hp00002g1VGjIAM,Ms.,Ashley,James,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,+44 191 3456234,,,,,ajames@uog.com,"VP, Finance",Finance,,Public Relations,1950-02-05 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6tIAG,0,,001Hp00002g1VGkIAM,Mr.,Tom,Ripley,,,,,,,,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-7636,,,,,tripley@uog.com,Regional General Manager,Executive Team,,Public Relations,1954-04-04 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6uIAG,0,,001Hp00002g1VGkIAM,Ms.,Liz,D'Cruz,,,,,,,,,"10 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-6637,,,,,ldcruz@uog.com,"VP, Production",Production,,Public Relations,1965-07-15 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6vIAG,0,,001Hp00002g1VGlIAM,Ms.,Edna,Frank,,,,,,,,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,(650) 867-3450,(650) 867-9895,(650) 867-7686,,,,,efrank@genepoint.com,"VP, Technology",Technology,,Partner,1945-12-20 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6wIAG,0,,001Hp00002g1VGgIAM,Mr.,Avi,Green,,,,,,,,,"1302 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-2383,,,(212) 842-5428,,agreen@uog.com,CFO,Finance,Chris Nobel,Public Relations,1937-05-09 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6xIAG,0,,001Hp00002g1VGmIAM,Ms.,Siddartha,Nedaerk,,,,,,,,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,,,,,,,,,,,,,,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,,
003Hp00002pTA6yIAG,0,,001Hp00002g1VGmIAM,Mr.,Jake,Llorrac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,,
